epoch,cost_train,cost_test,accu_train,accu_test
  365.0000,    0.8331,    0.8320,    0.5935,    0.5934
  366.0000,    0.8323,    0.8311,    0.5938,    0.5934
  367.0000,    0.8313,    0.8302,    0.5934,    0.5933
  368.0000,    0.8304,    0.8292,    0.5935,    0.5935
  369.0000,    0.8296,    0.8283,    0.5937,    0.5936
  370.0000,    0.8284,    0.8274,    0.5937,    0.5937
  371.0000,    0.8278,    0.8265,    0.5931,    0.5937
  372.0000,    0.8267,    0.8256,    0.5935,    0.5938
  373.0000,    0.8261,    0.8247,    0.5935,    0.5939
  374.0000,    0.8252,    0.8238,    0.5935,    0.5938
  375.0000,    0.8241,    0.8229,    0.5934,    0.5938
  376.0000,    0.8235,    0.8220,    0.5935,    0.5938
  377.0000,    0.8227,    0.8211,    0.5937,    0.5939
  378.0000,    0.8211,    0.8202,    0.5939,    0.5941
  379.0000,    0.8206,    0.8193,    0.5939,    0.5941
  380.0000,    0.8199,    0.8184,    0.5941,    0.5942
  381.0000,    0.8191,    0.8175,    0.5941,    0.5943
  382.0000,    0.8181,    0.8167,    0.5942,    0.5945
  383.0000,    0.8172,    0.8158,    0.5941,    0.5946
  384.0000,    0.8163,    0.8149,    0.5936,    0.5946
  385.0000,    0.8157,    0.8140,    0.5946,    0.5946
  386.0000,    0.8146,    0.8132,    0.5946,    0.5946
  387.0000,    0.8139,    0.8123,    0.5940,    0.5947
  388.0000,    0.8129,    0.8115,    0.5943,    0.5946
  389.0000,    0.8123,    0.8106,    0.5947,    0.5946
  390.0000,    0.8114,    0.8098,    0.5942,    0.5947
  391.0000,    0.8106,    0.8090,    0.5948,    0.5949
  392.0000,    0.8098,    0.8081,    0.5951,    0.5950
  393.0000,    0.8089,    0.8073,    0.5947,    0.5951
  394.0000,    0.8080,    0.8065,    0.5948,    0.5953
  395.0000,    0.8071,    0.8057,    0.5949,    0.5955
  396.0000,    0.8065,    0.8049,    0.5948,    0.5957
  397.0000,    0.8053,    0.8041,    0.5951,    0.5958
  398.0000,    0.8050,    0.8033,    0.5950,    0.5960
  399.0000,    0.8042,    0.8025,    0.5954,    0.5962
  400.0000,    0.8033,    0.8017,    0.5959,    0.5963
  401.0000,    0.8026,    0.8009,    0.5960,    0.5963
  402.0000,    0.8017,    0.8002,    0.5954,    0.5963
  403.0000,    0.8014,    0.7994,    0.5955,    0.5964
  404.0000,    0.8001,    0.7987,    0.5952,    0.5964
  405.0000,    0.7996,    0.7979,    0.5957,    0.5966
  406.0000,    0.7988,    0.7972,    0.5957,    0.5967
  407.0000,    0.7983,    0.7964,    0.5958,    0.5968
  408.0000,    0.7976,    0.7957,    0.5959,    0.5969
  409.0000,    0.7970,    0.7950,    0.5964,    0.5970
  410.0000,    0.7959,    0.7943,    0.5966,    0.5972
  411.0000,    0.7956,    0.7936,    0.5968,    0.5973
  412.0000,    0.7948,    0.7929,    0.5964,    0.5976
  413.0000,    0.7942,    0.7922,    0.5972,    0.5977
  414.0000,    0.7934,    0.7915,    0.5967,    0.5978
  415.0000,    0.7926,    0.7908,    0.5970,    0.5981
  416.0000,    0.7920,    0.7901,    0.5972,    0.5982
  417.0000,    0.7912,    0.7895,    0.5972,    0.5984
  418.0000,    0.7908,    0.7888,    0.5975,    0.5984
  419.0000,    0.7900,    0.7882,    0.5972,    0.5985
  420.0000,    0.7895,    0.7876,    0.5976,    0.5985
  421.0000,    0.7887,    0.7869,    0.5977,    0.5985
  422.0000,    0.7887,    0.7863,    0.5975,    0.5986
  423.0000,    0.7878,    0.7857,    0.5974,    0.5987
  424.0000,    0.7873,    0.7851,    0.5980,    0.5989
  425.0000,    0.7863,    0.7845,    0.5984,    0.5992
  426.0000,    0.7860,    0.7839,    0.5982,    0.5993
  427.0000,    0.7855,    0.7833,    0.5988,    0.5994
  428.0000,    0.7849,    0.7828,    0.5989,    0.5996
  429.0000,    0.7844,    0.7822,    0.5987,    0.5998
  430.0000,    0.7838,    0.7816,    0.5990,    0.5997
  431.0000,    0.7835,    0.7811,    0.5986,    0.5998
  432.0000,    0.7826,    0.7806,    0.5996,    0.5999
  433.0000,    0.7822,    0.7800,    0.5997,    0.6001
  434.0000,    0.7818,    0.7795,    0.5997,    0.6002
  435.0000,    0.7812,    0.7790,    0.5998,    0.6004
  436.0000,    0.7806,    0.7785,    0.6004,    0.6006
  437.0000,    0.7801,    0.7780,    0.6004,    0.6007
  438.0000,    0.7795,    0.7775,    0.6002,    0.6009
  439.0000,    0.7793,    0.7770,    0.6006,    0.6011
  440.0000,    0.7787,    0.7765,    0.6008,    0.6012
  441.0000,    0.7781,    0.7761,    0.6009,    0.6015
  442.0000,    0.7778,    0.7756,    0.6011,    0.6017
  443.0000,    0.7773,    0.7752,    0.6011,    0.6018
  444.0000,    0.7772,    0.7747,    0.6015,    0.6019
  445.0000,    0.7767,    0.7743,    0.6016,    0.6019
  446.0000,    0.7764,    0.7738,    0.6021,    0.6020
  447.0000,    0.7757,    0.7734,    0.6020,    0.6020
  448.0000,    0.7753,    0.7730,    0.6023,    0.6022
  449.0000,    0.7750,    0.7726,    0.6023,    0.6023
  450.0000,    0.7743,    0.7722,    0.6033,    0.6025
  451.0000,    0.7740,    0.7718,    0.6026,    0.6027
  452.0000,    0.7737,    0.7714,    0.6028,    0.6029
  453.0000,    0.7735,    0.7710,    0.6026,    0.6031
  454.0000,    0.7733,    0.7706,    0.6033,    0.6035
  455.0000,    0.7725,    0.7702,    0.6035,    0.6036
  456.0000,    0.7723,    0.7699,    0.6036,    0.6038
  457.0000,    0.7718,    0.7695,    0.6042,    0.6038
  458.0000,    0.7715,    0.7691,    0.6036,    0.6041
  459.0000,    0.7717,    0.7688,    0.6044,    0.6042
  460.0000,    0.7710,    0.7684,    0.6042,    0.6043
  461.0000,    0.7705,    0.7681,    0.6048,    0.6045
